timestamp,device_id,cpu_usage_idle,mem_total,mem_used,system_load1,system_load15,system_load5
1723121460,vm101,,4097830912,501190656,0.88,0.11,0.3
1723121470,vm101,53.9354187689,4097830912,535977984,0.9,0.12,0.33
1723121480,vm101,58.8648920141,4097830912,544219136,0.92,0.13,0.35
1723121490,vm101,49.75,4097830912,535728128,1.08,0.15,0.41
1723121500,vm101,49.3740610916,4097830912,476299264,1.15,0.16,0.44
1723121510,vm101,90.8086388749,4097830912,481685504,1.05,0.17,0.44
1723121520,vm101,55.2829243866,4097830912,607842304,1.04,0.18,0.46
1723121530,vm101,47.0883534137,4097830912,829304832,1.03,0.19,0.48
1723121540,vm101,66.4149043303,4097830912,842166272,1.03,0.2,0.5
1723121550,vm101,84.3797086891,4097830912,827691008,0.87,0.19,0.48
1723121560,vm101,16.082164328657,4097830912,1543389184,1.2,0.22,0.56
1723121570,vm101,0.95,4097830912,1556967424,1.47,0.25,0.64
1723121580,vm101,23.5175879397,4097830912,1813753856,1.48,0.27,0.67
1723121590,vm101,58.074222668,4097830912,1916260352,1.4,0.28,0.68
1723121600,vm101,99.3496748374,4097830912,1916260352,1.18,0.27,0.66
1723121610,vm101,99.3984962406,4097830912,1916260352,1,0.27,0.64
1723121620,vm101,99.4494494494,4097830912,1916260352,0.85,0.27,0.62
1723121630,vm101,99.3993993994,4097830912,1916260352,0.72,0.26,0.6
1723121640,vm101,99.5490981963,4097830912,1916260352,0.6,0.26,0.58
1723121650,vm101,98.3483483483,4097830912,1916248064,0.51,0.26,0.56
1723121660,vm101,99.6492985971,4097830912,1916248064,0.43,0.25,0.54
1723121670,vm101,99.4494494494,4097830912,1916116992,0.37,0.25,0.52
1723121680,vm101,96.4982491245,4097830912,1923575808,0.31,0.25,0.5
1723121690,vm101,99.3987975951,4097830912,1923575808,0.26,0.25,0.49
1723121700,vm101,99.3493493493,4097830912,1923575808,0.22,0.24,0.47
1723121710,vm101,99.4989979959,4097830912,1923579904,0.19,0.24,0.45
1723121720,vm101,99.5495495495,4097830912,1923579904,0.16,0.24,0.44
1723121730,vm101,99.4992488733,4097830912,1923579904,0.13,0.23,0.42
1723121740,vm101,99.4497248624,4097830912,1923579904,0.11,0.23,0.41
1723121750,vm101,99.5493239859,4097830912,1923579904,0.09,0.23,0.39
1723121760,vm101,99.4483450351,4097830912,1931706368,0.08,0.22,0.38
1723121770,vm101,99.15,4097830912,1931968512,0.07,0.22,0.37
1723121780,vm101,99.5993990986,4097830912,1931968512,0.06,0.22,0.36
1723121790,vm101,98.8011988011,4097830912,1931866112,0.05,0.22,0.34
1723121800,vm101,99.5989974937,4097830912,1936027648,0.04,0.21,0.33
1723121810,vm101,99.39969985,4097830912,1958014976,0.03,0.21,0.32
1723121820,vm101,99.3990986479,4097830912,1925009408,0.03,0.21,0.31
1723121830,vm101,99.4992488733,4097830912,1925537792,0.02,0.2,0.3
1723121840,vm101,99.45,4097830912,1930252288,0.02,0.2,0.29
1723121850,vm101,99.5991983967,4097830912,1930641408,0.02,0.2,0.28
1723121860,vm101,99.6494742113,4097830912,1930870784,0.01,0.2,0.27
1723121870,vm101,99.55,4097830912,1930919936,0.01,0.19,0.26
1723121880,vm101,99.6494742113,4097830912,1930919936,0.01,0.19,0.25
1723121890,vm101,99.3493493493,4097830912,1930915840,0.01,0.19,0.24
1723121900,vm101,99.5490981963,4097830912,1964724224,0,0.18,0.23
1723121910,vm101,99.5993990986,4097830912,1965502464,0,0.18,0.23
1723121920,vm101,99.4497248624,4097830912,1967665152,0,0.18,0.22
1723121930,vm101,99.4994994994,4097830912,1967247360,0,0.18,0.21
1723121940,vm101,99.39969985,4097830912,1967468544,0,0.17,0.2
1723121950,vm101,99.24887331,4097830912,1924292608,0,0.17,0.2
1723121960,vm101,99.6494742113,4097830912,1921232896,0,0.17,0.19
1723121970,vm101,99.4497248624,4097830912,1921232896,0,0.17,0.18
1723121980,vm101,99.7493734335,4097830912,1921458176,0,0.17,0.17
1723121990,vm101,99.5495495495,4097830912,1921458176,0,0.16,0.17
1723122000,vm101,99.5991983967,4097830912,1929846784,0,0.16,0.16
1723122010,vm101,99.0990990991,4097830912,1930321920,0,0.16,0.16
1723122020,vm101,99.5495495495,4097830912,1930321920,0,0.16,0.15
1723122030,vm101,99.4989979959,4097830912,1948585984,0,0.16,0.15
1723122040,vm101,99.5493239859,4097830912,1968152576,0,0.16,0.14
1723122050,vm101,99.7494989979,4097830912,1980735488,0,0.15,0.14
1723122060,vm101,99.5995995996,4097830912,1980735488,0,0.15,0.13
1723122070,vm101,98.9989989989,4097830912,1970933760,0,0.15,0.13
1723122080,vm101,99.5,4097830912,1970933760,0,0.15,0.12
1723122090,vm101,99.6494742113,4097830912,1970933760,0,0.15,0.12
1723122100,vm101,99.45,4097830912,1946451968,0,0.14,0.11
1723122110,vm101,99.6492985971,4097830912,1963229184,0,0.14,0.11
1723122120,vm101,98.7987987987,4097830912,1957363712,0,0.14,0.1
1723122130,vm101,99.2492492492,4097830912,1954516992,0,0.14,0.1
1723122140,vm101,99.4992488733,4097830912,1963859968,0.15,0.15,0.13
1723122150,vm101,99.5995995996,4097830912,1942233088,0.12,0.14,0.12
1723122160,vm101,99.4502748625,4097830912,1918509056,0.1,0.14,0.12
1723122170,vm101,99.649122807,4097830912,1927520256,0.09,0.14,0.12
1723122180,vm101,99.5495495495,4097830912,1921933312,0.07,0.14,0.11
1723122190,vm101,99.3987975951,4097830912,1956876288,0.22,0.15,0.14
1723122200,vm101,99.5495495495,4097830912,1978839040,0.19,0.15,0.14
1723122210,vm101,99.5,4097830912,1916346368,0.16,0.14,0.13
1723122220,vm101,99.3990986479,4097830912,1932005376,0.13,0.14,0.13
1723122230,vm101,99.4491737606,4097830912,1987043328,0.11,0.14,0.12
1723122240,vm101,99.6494742113,4097830912,1926696960,0.1,0.14,0.12
1723122250,vm101,99.2496248124,4097830912,1937670144,0.08,0.14,0.11
1723122260,vm101,99.6492985971,4097830912,1937670144,0.07,0.13,0.11
1723122270,vm101,99.5991983967,4097830912,1938350080,0.06,0.13,0.1
1723122280,vm101,98.7487487487,4097830912,1942675456,0.05,0.13,0.1
1723122290,vm101,99.5497748874,4097830912,1942675456,0.04,0.13,0.1
1723122300,vm101,99.45,4097830912,1942675456,0.03,0.13,0.09
1723122310,vm101,99.4982438534,4097830912,1942675456,0.03,0.12,0.09
1723122320,vm101,99.3990986479,4097830912,1942904832,0.02,0.12,0.09
1723122330,vm101,99.5991983967,4097830912,1942904832,0.02,0.12,0.08
1723122340,vm101,99.3490235353,4097830912,1942900736,0.02,0.12,0.08
1723122350,vm101,99.5993990986,4097830912,1942900736,0.01,0.12,0.08
1723122360,vm101,99.4997498749,4097830912,1934278656,0.01,0.12,0.07
1723122370,vm101,98.3959899749,4097830912,1935482880,0.01,0.11,0.07
1723122380,vm101,99.5997999,4097830912,1937580032,0.01,0.11,0.07
1723122390,vm101,99.6492985971,4097830912,1950257152,0,0.11,0.07
